network_name,price_past,lr,test_mse_loss,test_mae,test_mape
GRU,5,8.73076923076923e-05,1157632.7889788593,961.7902420754929,0.05354595468326704
GRU,5,8.984615384615384e-05,871703.1257116986,849.6295024548238,0.04668353498063738
GRU,5,9.238461538461538e-05,675089.9653148035,733.434908667488,0.04052245269184657
GRU,5,9.492307692307692e-05,1045551.0942864093,921.16325161477,0.050909514709115984
GRU,5,9.746153846153845e-05,579030.3263559649,677.1708004312276,0.03745328933785359
GRU,5,0.0001,796675.1582927909,821.4725127408154,0.044686917005665204
LSTM,5,1e-05,5230950.4090875145,2050.326744744997,0.11546073756497821
LSTM,5,3.538461538461538e-05,1334392.3892394719,921.6751873786588,0.053607037168100065
LSTM,5,6.0769230769230765e-05,1101149.369862382,845.1887682478346,0.04896670052161254
LSTM,5,8.615384615384615e-05,522256.4045011322,609.5170355902778,0.0345382251876645
LSTM,5,0.00011153846153846153,637890.7402696233,681.2191081895908,0.03855829140666217
LSTM,5,0.0001369230769230769,1210322.088851327,954.9128712570938,0.053861667492494804
LSTM,5,0.0001623076923076923,871115.4600590669,783.1059949503435,0.0446402000477283
LSTM,5,0.00018769230769230769,683333.0139982846,717.6901823383363,0.040227682689900277
LSTM,5,0.00021307692307692306,1280127.7780907424,994.2109316662933,0.05593898117008105
LSTM,5,0.00023846153846153844,867684.4393742606,823.783768994549,0.04611748227170305
LSTM,5,0.00026384615384615384,254782.83810572472,435.79565108833634,0.02232138946443922
LSTM,5,0.0002892307692307692,2943983.5642744903,1398.0523155148596,0.08090550437475526
LSTM,5,0.00031461538461538465,2270283.212483724,1315.227452723641,0.07434205264503997
LSTM,5,0.00034,119068.16145530254,281.95899720915475,0.015171080720612134
LSTM,5,0.0003653846153846154,878864.8821691059,741.654069360439,0.043143798654349766
LSTM,5,0.0003907692307692308,705369.5570413551,674.8732113855286,0.031903871231704545
LSTM,5,0.00041615384615384615,868408.0937814803,789.7694577452957,0.03778577664178879
LSTM,5,0.00044153846153846153,614693.4017799918,712.194584453405,0.035237070592735745
LSTM,5,0.0004669230769230769,1096054.4143967726,890.9974856724164,0.042666540033639636
LSTM,5,0.0004923076923076923,1051350.1237486699,988.0942446983273,0.050718723793526314
LSTM,5,0.0005176923076923077,550534.7905856535,672.8061027572431,0.03592785031642454
