network_name,price_past,lr,test_mse_loss,test_mae,test_mape
CNN,30,6.446153846153846e-05,1401352.014976292,975.28661671847,0.04978209790932805
CNN,30,6.7e-05,1684969.5224574374,1097.2395863960294,0.05865378030258695
CNN,30,6.953846153846154e-05,1430886.2454077061,984.0348432716361,0.05075256696934483
CNN,30,7.207692307692308e-05,2978177.794756198,1572.2973392172098,0.0837319824886881
CNN,30,7.461538461538462e-05,3090474.1342592593,1405.106289698374,0.06824628099923778
CNN,30,7.715384615384615e-05,1656708.377576165,1086.3186198500036,0.05378066193258997
CNN,30,7.969230769230769e-05,1678277.4700380825,1153.8402271703721,0.05953769952285781
CNN,30,8.223076923076923e-05,2164067.6653505825,1324.934468660161,0.06665525068567894
CNN,30,8.476923076923077e-05,2699105.178390084,1490.8541159134184,0.07712323114658698
CNN,30,8.73076923076923e-05,2330144.9302382017,1364.497922471205,0.07035084982628499
CNN,30,8.984615384615384e-05,3517791.4567092294,1715.8799955488819,0.09179462233876527
CNN,30,9.238461538461538e-05,1820301.862212515,1163.6733286138647,0.0581878540389854
CNN,30,9.492307692307692e-05,2267477.130903711,1381.2723887453797,0.07156481689872529
CNN,30,9.746153846153845e-05,2912086.6771206693,1474.6788442376978,0.07434029863165911
CNN,30,0.0001,3154927.457605287,1662.266178618765,0.08771368589034147
GRU,30,1e-06,23483355.74014337,4672.68678099565,0.2535341768353074
GRU,30,3.538461538461538e-06,2764712.2664300515,1320.994313302718,0.07648334271756302
GRU,30,6.076923076923077e-06,2354656.8640909684,1230.3323121429771,0.07132913898192614
GRU,30,8.615384615384615e-06,2118977.5264552766,1146.617571503743,0.06674103908910635
GRU,30,1.1153846153846154e-05,1954546.849082008,1121.9816220738128,0.06493285200430643
GRU,30,1.3692307692307692e-05,2513519.882428059,1261.118094349705,0.07327946748561143
GRU,30,1.623076923076923e-05,2398540.522177419,1228.1781602355884,0.07110729034914409
GRU,30,1.876923076923077e-05,2157736.1365355714,1161.462200789184,0.06763546522834707
GRU,30,2.1307692307692308e-05,1236409.8385606261,874.5789081751232,0.05079618016390849
GRU,30,2.3846153846153846e-05,1535733.6641450468,969.280510140149,0.05639073247976797
